agenda,dkod,nazev,metodika
18,D18.9,Zaměstnanci ostatní - počet úvazků ostatních zaměstnanců Živnostenského úřadu,"Například úvazky pracovníků pro správní řízení, vedoucích a administrativní síly apod. K 31.12. sledovaného roku."
18,D18.10,"Počet zaměstnanců - pracovních úvazků zařazených na odboru, ale vykonávajících jiné agendy","Například Czech Point, administrace tržních řádů, vidimace a legalizace apod. K 31.12. sledovaného roku."
18,D18.11,Celkem pracovních úvazků na odboru,Vzorec: D18.6 + D18.7 + D18.8 + D18.9 + D18.10
18,D18.12,Celkem pracovních úvazků v agendě Živnostenského úřadu,"Automatický součet řádků 18.6 + 18.7 + 18.8 + 18.9
Vzorec: D18.6+D18.7+D18.8+D18.9"
18,D18.13,Počet registrovaných zemědělských podnikatelů,"Vyplňte i v případě, že tuto agendu živnostenský úřad nevykonává (agendu vykonává jiný odbor). K 31.12. sledovaného roku."
18,D18.14,Počet úředních hodin v týdnu,"Údaj v hodinách za týden, který odpovídá oficiálně zveřejněným úředním hodinám na úřadě (úřední hodiny se mohou v některých agendách lišit; jsou-li například úřední hodiny evidence obyvatel zveřejněny v po, út, st a pá odpoledne, ale stavební úřad veřejně prezentuje úřední hodiny pouze ve dnech po a st). Rozhodujícím kritériem je to, zda je tato úřední doba prokazatelně zveřejněna např. na vstupu do úřadu, na internetu, na vstupních dveřích matriky, živnostenského úřadu apod. a současně je zaručeno, že klient bude obsloužen v plném rozsahu. NEZAPOČÍTÁVÁME POLEDNÍ PŘESTÁVKU ve zveřejněném rozsahu (klienti v této době nejsou odbavováni, polední přestávka je zveřejněna). Sledováno od roku 2008, v ostatních obdobích byly automaticky doplněny nuly."
19,D19.1,Míra náročnosti výkonu sociální práce,I. Běžná míra náročnosti výkonu sociálně-právní ochrany - vyplňte prosím 1 II. Zvýšená míra náročnosti výkonu sociálně-právní ochrany - vyplňte prosím 2 III. Vysoká míra náročnosti výkonu sociálně-právní ochrany - vyplňte prosím 3
19,D19.2,Počet dětí do 18 let ve správním obvodu ORP,K 31.12. sledovaného roku. Zdroj dat: evidence obyvatel.
19,D19.3,Evidovaný počet případů SPOD,"Evidovaný počet případů k 31.12. sledovaného roku OM + NOM. Řádky 71 a 72, sl. 3 dle statistiky MPSV."
19,D19.3.1,"Počet případů kolizního opatrovnictví, poručnictví",Spisy OM-O a OM-POR za celé období sledovaného roku.
19,D19.4,"Počet ""spisů"" bez zavedení NOM nebo OM",Spisy zde rozumíme dokumenty případů nevyhodnocených dle §6. K 31.12. sledovaného roku.
19,D19.5,Počet případů SPOD zaevidovaných za sledovaný rok,"Zaevidovaný počet případů ve sledovaném roce OM + NOM. Řádky 71 a 72, sl. 2 dle statistiky MPSV."
19,D19.5.1,Počet dětí v náhradní rodinné péči,"Součet řádků 89a - 89d, sl. 1 dle statistiky MPSV k 31.12. sledovaného roku."
19,D19.5.1.1,Celkový počet dětí svěřených do pěstounské péče na přechodnou dobu,"Řádek 77, sl. 1 dle statistiky MPSV + převedený počet dětí z předchozího roku."
19,D19.5.1.2,Počet dětí svěřených do pěstounské péče na přechodnou dobu k 31.12.,"Řádek 89b, sl. 1 dle statistiky MPSV. K 31.12. sledovaného roku."
