code,name,agenda,kind,unit
D18.3.2,Počet vydaných výpisů ze ŽR jako průkazů živnostenských oprávnění,18,dkod,
D18.3.3,Počet výpisů a potvrzení ze živnostenského rejstříku,18,dkod,
D18.3.4,Počet vyrozumění o přerušení a pokračování v provozování živnosti,18,dkod,
D18.3.5,Počet rozhodnutí o zrušení živnostenského oprávnění,18,dkod,
D18.3.5.1,z toho sankčních,18,dkod,
D18.3.6,"Počet vyrozumění o zápisu provozovny, změn do živnostenského rejstříku a míst pro vypořádání závazků po ukončení provozovny",18,dkod,
D18.3.7,Počet rozhodnutí o pozastavení živnostenského oprávnění,18,dkod,
D18.3.8,Počet podnětů celkem,18,dkod,
D18.3.8.1,Počet podnětů cizích subjektů,18,dkod,
D18.3.9,Počet avíz a usnesení,18,dkod,
D18.3.10,Počet odeslaných podání z JRF,18,dkod,
D18.5.1,Počet kontrol,18,dkod,
D18.5.1.1,Součet předmětů kontrol,18,dkod,
D18.5.2,"Počet úkonů před zahájením kontroly, včetně záznamů",18,dkod,
D18.5.3,Počet uložených pokut příkazem na místě v ks,18,dkod,
D18.5.4,Objem uložených pokut příkazem na místě celkem v tis. Kč,18,dkod,
D18.5.5,Počet uložených pokut v přestupkovém řízení v ks,18,dkod,
D18.5.6,Objem uložených pokut v přestupkovém řízení celkem v tis. Kč,18,dkod,
D18.6,Počet registračních zaměstnanců - pracovních úvazků,18,dkod,
D18.7,Počet kontrolních zaměstnanců - pracovních úvazků,18,dkod,
D18.8,Počet zaměstnanců - pracovních úvazků pro agendu zemědělského podnikatele,18,dkod,
D18.9,Zaměstnanci ostatní - počet úvazků ostatních zaměstnanců Živnostenského úřadu,18,dkod,
D18.10,"Počet zaměstnanců - pracovních úvazků zařazených na odboru, ale vykonávajících jiné agendy",18,dkod,
D18.13,Počet registrovaných zemědělských podnikatelů,18,dkod,
D18.14,Počet úředních hodin v týdnu,18,dkod,
D19.1,Míra náročnosti výkonu sociální práce,19,dkod,
D19.2,Počet dětí do 18 let ve správním obvodu ORP,19,dkod,
D19.3,Evidovaný počet případů SPOD,19,dkod,
D19.3.1,"Počet případů kolizního opatrovnictví, poručnictví",19,dkod,
D19.4,"Počet ""spisů"" bez zavedení NOM nebo OM",19,dkod,
D19.5,Počet případů SPOD zaevidovaných za sledovaný rok,19,dkod,
D19.5.1,Počet dětí v náhradní rodinné péči,19,dkod,
D19.5.1.1,Celkový počet dětí svěřených do pěstounské péče na přechodnou dobu,19,dkod,
D19.5.2,Počet osob vykonávajících náhradní rodinnou péči,19,dkod,
D19.6,Počet dohod o výkonu pěstounské péče uzavřených OSPOD,19,dkod,
D19.7.1,Počet vypracovaných IPOD dětí dle § 6 zákona č. 359/1999 Sb.,19,dkod,
D19.8,Počet dětí umístěných v náhradní péči zařízení pro péči o děti,19,dkod,
D19.8.1,Celkový počet dětí umístěných v náhradní péči zařízení pro péči o děti,19,dkod,
D19.9,Počet pořádaných případových konferencí,19,dkod,
D19.10,"Počet dětí, u kterých byl soudem či OSPOD stanoven dohled",19,dkod,
D19.11,Počet zásahů v rámci pohotovostní služby OSPOD mimo pracovní dobu,19,dkod,
D19.12.1,VYPLŇTE POUZE POKUD PRŮKAZNĚ SLEDUJETE - SPOD - celkový počet sociálních šetření,19,dkod,
D19.12.2,VYPLŇTE POUZE POKUD PRŮKAZNĚ SLEDUJETE - SPOD - celkový počet soudních jednání,19,dkod,
D19.13,Počet klientů kurátora pro děti a mládež,19,dkod,
